date,gt_Cryptocurrency (Topic)_monthly,gt_Crypto_monthly,AdrBal1in1MCnt,AdrBal1in100KCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv10KCnt,AdrBalUSD1Cnt,AdrBalUSD10Cnt,AdrBalUSD100Cnt,AdrBalUSD1KCnt,AdrBalUSD10KCnt,AdrBalUSD100KCnt,AdrBalUSD1MCnt,AdrBalUSD10MCnt,CapAct1yrUSD,CapMrktFFUSD,CapRealUSD,RevAllTimeUSD,SplyAct10yr,SplyAct1yr,SplyActEver,SplyAdrBal1in1B,SplyAdrBal1in100M,SplyAdrBal1in10M,SplyAdrBal1in100K,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD1K,SplyAdrBalUSD10K,SplyAdrBalUSD100K,SplyAdrBalUSD1M,SplyAdrBalUSD10M,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyMiner0HopAllUSD,total_balance,fish_pct,close-price,market-cap,SME_5_close-price,SME_10_close-price,SME_14_close-price,SME_20_close-price,SME_30_close-price,SME_5_market-cap,SME_10_market-cap,SME_14_market-cap,SME_20_market-cap,SME_30_market-cap,EMA5_close-price,EMA10_close-price,EMA14_close-price,EMA20_close-price,EMA30_close-price,EMA50_close-price,EMA100_close-price,EMA200_close-price,EMA5_market-cap,EMA10_market-cap,EMA14_market-cap,EMA20_market-cap,EMA30_market-cap,EMA50_market-cap,EMA100_market-cap,EMA200_market-cap,bol_upper_band,bol_lower_band,VOO_Close,SPY_Close,STOXX_Close,price_7d
2017-02-03,1,0,111086,9485,13837033,6340116,116,6357879,3948611,1614529,574275,152422,19154,1768,119,6814236192.0,13624276494.0,7453526290.0,2144713698,14285278.03,6711536.003,14285278.03,16119261.71,16018776.69,15527629.44,9193970.65,16138822.14,16129862.89,16058272.63,15724812.69,14574921.45,10198811.31,16138839.77,16130156.84,16060398.93,15737593.55,14600752.06,10276020.09,6464168.215,3138201.112,16034831.76,14460265.14,16142936.1,1930133382.0,16138822.14,27.11542455,1015.4425,16392262891.0,979.9352308,946.1184954,936.0241119,916.0498183,901.5842439,15815249255.0,15264934521.0,15098455949.0,14770915786.0,14528576676.0,985.2346649,958.5711971,946.4592806,938.2445223,938.1723961,951.239331,978.63466,1002.211501,15900902573.0,15466032023.0,15267023200.0,15129437575.0,15121172964.0,15322235909.0,15752604945.0,16125043020.0,1015.586204,816.5134331,187.7045135,205.0022583,364.070007,1535.292573
2017-02-04,1,0,110981,9499,13864405,6352350,116,6390791,4010325,1628076,577932,153399,19425,1784,119,6940185196.0,13873496416.0,7471248254.0,2146717062,14287666.51,6713367.542,14287666.51,16121047.94,16020058.9,15529282.86,9203396.009,16140619.49,16131633.14,16059754.23,15725438.66,14577917.45,10210377.4,16140657.3,16132447.84,16062995.63,15743263.1,14615150.72,10311266.15,6484874.06,3138373.097,16036401.93,14467906.82,16144736.1,1964661235.0,16140619.49,27.05930868,1033.63,16687723783.0,1002.463002,960.1341154,944.1635762,926.6356933,903.0163272,16180774004.0,15492970390.0,15231663279.0,14943470825.0,14553671245.0,1001.366443,972.2182522,958.0820432,947.3288535,944.3309512,954.4703376,979.7236766,1002.524123,16163176310.0,15688157798.0,15456449945.0,15277845785.0,15222240759.0,15375784453.0,15771122150.0,16130641834.0,1029.010275,824.2611114,187.7045135,205.0022583,364.070007,1555.079943
2017-02-05,1,0,110795,9508,13874153,6347055,115,6364243,3946030,1613656,571020,151948,19143,1772,118,6813020099.0,13617416896.0,7483238242.0,2148873405,14289522.38,6715193.988,14289522.38,16123055.74,16022040.41,15532866.08,9215053.935,16142603.38,16133598.33,16061748.7,15728033.07,14583659.8,10221181.36,16142620.44,16133863.66,16063857.99,15740678.33,14608867.28,10294522.32,6475835.174,3126955.812,16038882.79,14476829.77,16146723.6,1928086999.0,16142603.38,27.02462755,1016.926159,16420090078.0,1012.194973,970.2907313,951.1741009,936.0665013,907.1127825,16339865135.0,15658776037.0,15346640863.0,15097405727.0,14621598298.0,1006.553015,980.3469625,965.9279253,953.9571683,949.014513,956.9195855,980.4603594,1002.667427,16248814233.0,15821236394.0,15584935296.0,15386630956.0,15299521360.0,15416737615.0,15783973000.0,16133521916.0,1034.995779,837.1372232,187.7045135,205.0022583,364.070007,1544.923917
2017-02-06,1,0,111105,9498,13846017,6301126,115,6328502,3925873,1610699,574968,152899,19264,1770,119,6878690463.0,13736198253.0,7502631333.0,2150632413,14291050.17,6721951.485,14291050.17,16124769.77,16025296.61,15538466.35,9206159.557,16144160.24,16135172.91,16064448.01,15733171.19,14582963.25,10211342.67,16144187.3,16135701.97,16067153.12,15748475.02,14614349.09,10297922.63,6470528.447,3128175.604,16042345.5,14470089.63,16148286.1,1944755879.0,16144160.24,27.07864959,1024.511089,16544150319.0,1019.782613,980.9130902,958.7172144,942.0844307,911.2605255,16464203258.0,15832072580.0,15470219285.0,15196373241.0,14690364856.0,1012.53904,988.3768037,973.7390138,960.6765893,953.8852599,959.5702327,981.3326511,1002.884777,16347259595.0,15952675290.0,15712830632.0,15496870895.0,15379820003.0,15460949878.0,15799026016.0,16137607770.0,1047.283882,836.8849791,187.3123627,204.635788,361.600006,1540.008941
2017-02-07,1,0,111084,9496,13906462,6337542,115,6400208,4006687,1634950,584540,154852,19718,1801,118,7094556258.0,14144602289.0,7532261857.0,2152799580,14292237.81,6733477.187,14292237.81,16126530.88,16026280.66,15537494.88,9200186.594,16146041.2,16136986.39,16065639.2,15732556.07,14577426.28,10207182.79,16146102.23,16138066.36,16070014.64,15755708.22,14626997.71,10335675.21,6499496.582,3117257.169,16043440.85,14469996.17,16150173.6,2003189068.0,16146041.2,27.06696605,1051.5,16981015238.0,1028.40195,994.0385902,970.5537287,950.9626807,916.0410255,16605048462.0,16045721188.0,15663023187.0,15341439865.0,14769337469.0,1025.526027,999.8537485,984.1071453,969.326438,960.182985,963.1753216,982.7221035,1003.36851,16558511476.0,16139646189.0,15881921913.0,15638217975.0,15483122921.0,15520560284.0,15822431743.0,16145999884.0,1061.767248,840.1581137,187.3569641,204.6447144,362.73999,1564.510251
2017-02-08,1,0,111113,9499,13945973,6359509,112,6420368,4009333,1636165,585354,154661,19584,1801,116,7096763567.0,14128426706.0,7552057912.0,2154884761,14303529.07,6743616.262,14303529.07,16128299.69,16027706.6,15537716.6,9198325.599,16147861.32,16138751.08,16067123.77,15733414.98,14574284.23,10202392.04,16147920.65,16139777.46,16071355.64,15756031.01,14621455.42,10320390.52,6493743.518,3086934.967,16045090.5,14470184.23,16151998.6,1990823854.0,16147861.32,27.07412519,1055.3013,17045265644.0,1036.37371,1008.15447,982.1128359,958.8832457,921.1551059,16735649012.0,16275449134.0,15851444655.0,15471131567.0,14853729012.0,1035.451118,1009.935121,993.5996992,977.5145201,966.3196505,966.7881051,984.1593154,1003.885254,16720762865.0,16304304272.0,16037034411.0,15772222515.0,15583906323.0,15580352651.0,15846646276.0,16154947802.0,1075.886919,841.8795723,187.5975342,204.9128876,363.940002,1564.209946
2017-02-09,1,0,111112,9515,13967226,6361225,114,6175763,3383327,1531349,484229,136971,13643,1299,93,6639435442.0,13195435915.0,7558590572.0,2157131509,14306324.7,6755962.696,14306324.7,16130371.27,16029909.16,15540810.02,9206300.532,16149968.99,16140857.25,16069349.46,15736524.51,14583035.37,10212499.96,16149783.34,16135666.09,16063427.92,15659418.08,14455351.3,9733869.222,5992946.537,2847679.71,16047938.61,14482415.37,16154111.1,1858214567.0,16149968.99,27.06219072,981.705,15858560741.0,1025.98871,1014.225856,986.8517644,963.3955557,923.6866238,16569816404.0,16375295204.0,15929768022.0,15545759455.0,14896423240.0,1017.535745,1004.802372,992.0137393,977.9136134,967.3122537,967.3730814,984.110715,1003.664555,16433362157.0,16223259994.0,16013237921.0,15780445203.0,15601625963.0,15591262772.0,15846882206.0,16151998677.0,1076.341179,850.4499323,188.6669159,206.1285553,366.790009,1587.922989
2017-02-10,1,0,111067,9496,14000921,6380496,115,6211972,3490633,1540899,489713,138067,13856,1312,94,6736380598.0,13384404273.0,7581073895.0,2159103816,14308114.03,6759022.287,14308114.03,16132127.26,16031372.31,15542569.32,9212042.866,16151803.12,16142662.55,16070894.47,15738148.35,14586964.51,10219405.86,16151634.58,16138456.46,16065938.16,15667178.4,14470474.73,9763689.7,6017431.507,2867617.324,16049945.18,14489834.51,16155948.6,1885007353.0,16151803.12,27.04068776,992.1113,16028562068.0,1021.025738,1016.610356,992.124893,967.0172457,930.6144171,16491510802.0,16415687968.0,16016723535.0,15606046499.0,15009905857.0,1009.06093,1002.494904,992.0267474,979.265774,968.9121922,968.3432076,984.2691425,1003.549597,16298428794.0,16187860371.0,16015281141.0,15804075381.0,15629170227.0,15608411764.0,15850479827.0,16150770452.0,1078.698544,855.3359476,189.4243622,206.9420013,367.390015,1607.445252
2017-02-11,1,0,111138,9478,14015950,6378019,115,6391651,3928550,1604707,571997,152138,19124,1761,118,6831494927.0,13582485309.0,7588495187.0,2160977430,14309555.7,6754658.51,14309555.7,16133851.02,16033367.33,15544935.59,9209397.674,16153536.65,16144397.81,16072588.89,15740698.44,14591725.57,10220231.83,16153550.2,16144604.26,16074464.53,15752413.26,14615039.4,10289718.12,6470852.693,3112288.872,16052408.28,14495255.57,16157686.1,1912814261.0,16153536.65,27.06214642,1010.9463,16334579163.0,1018.31278,1019.047697,998.6035573,971.6256201,937.6650438,16449596571.0,16456899915.0,16123155679.0,15682255262.0,15125404056.0,1009.689387,1004.031522,994.5493544,982.282967,971.6240701,970.0139171,984.797403,1003.623196,16310478917.0,16214536515.0,16057854210.0,15854599551.0,15674680481.0,15636888917.0,15860065953.0,16152599395.0,1082.52952,860.7217199,189.4243622,206.9420013,367.390015,1609.558975
2017-02-12,1,0,111077,9499,14013089,6365369,115,6372787,3903428,1595051,568942,151648,18964,1753,118,6799615261.0,13515917834.0,7598607163.0,2162839980,14311235.61,6757069.61,14311235.61,16135613.3,16035610.58,15548827.94,9213641.543,16155284.9,16146158.89,16074664.81,15743870.77,14594501.1,10224330.19,16155292.29,16146226.18,16075955.82,15753006.62,14613039.76,10275987.8,6463673.317,3113057.507,16054912.14,14497821.1,16159436.1,1903245344.0,16155284.9,27.05102966,1000.523769,16167938834.0,1008.117534,1018.259742,1004.773648,975.7064336,943.5325428,16286981290.0,16446014876.0,16224580867.0,15749949584.0,15221842318.0,1006.634181,1003.393749,995.3459431,984.0201862,973.4885668,971.2103819,985.1088162,1003.592356,16262965556.0,16206064209.0,16072532160.0,15884441387.0,15706503601.0,15657714404.0,15866162445.0,16152752026.0,1084.427514,866.9853528,189.4243622,206.9420013,367.390015,1604.861906
