date,gt_Cryptocurrency (Topic)_monthly,gt_Crypto_monthly,AdrBal1in1MCnt,AdrBalUSD1Cnt,AdrBalUSD10Cnt,AdrBalUSD100Cnt,AdrBalUSD1KCnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,CapMrktFFUSD,CapRealUSD,RevAllTimeUSD,SplyActEver,SplyAdrBal1in1B,SplyAdrBal1in100M,SplyAdrBal1in10M,SplyAdrBal1in100K,SplyAdrBalNtv0.001,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalUSD1,SplyAdrBalUSD100,SplyAdrBalUSD1K,SplyAdrBalUSD10K,SplyAdrBalUSD100K,SplyAdrBalUSD1M,SplyAdrBalUSD10M,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyMiner0HopAllUSD,fish_pct,usdc_AdrBal1in10BCnt,usdc_AdrBal1in10MCnt,usdc_AdrBalCnt,usdc_AdrBalNtv0.001Cnt,usdc_AdrBalNtv0.01Cnt,usdc_AdrBalNtv0.1Cnt,usdc_AdrBalNtv1Cnt,usdc_AdrBalNtv10Cnt,usdc_AdrBalNtv100Cnt,usdc_AdrBalNtv1KCnt,usdc_AdrBalNtv10KCnt,usdc_AdrBalNtv100KCnt,usdc_AdrBalUSD1Cnt,usdc_AdrBalUSD10Cnt,usdc_AdrBalUSD100Cnt,usdc_AdrBalUSD10KCnt,usdc_AdrBalUSD100KCnt,usdc_AdrBalUSD10MCnt,usdc_CapAct1yrUSD,usdc_CapRealUSD,usdc_SER,usdc_SplyAct5yr,usdc_SplyAct1yr,usdc_SplyAct180d,usdc_SplyAct30d,usdc_SplyAct7d,usdc_SplyAct1d,usdc_SplyActEver,usdc_SplyAdrBal1in1B,usdc_SplyAdrBal1in100K,usdc_SplyAdrBalNtv0.01,usdc_SplyAdrBalNtv10,usdc_SplyAdrBalNtv1K,usdc_SplyAdrBalUSD100,usdc_SplyAdrBalUSD100K,usdc_SplyAdrBalUSD10M,usdc_SplyCur,SME_5_close-price,SME_10_close-price,SME_14_close-price,SME_20_close-price,SME_30_close-price,SME_100_close-price,SME_200_close-price,SME_5_market-cap,SME_10_market-cap,SME_14_market-cap,SME_20_market-cap,SME_30_market-cap,SME_100_market-cap,SME_200_market-cap,EMA5_close-price,EMA10_close-price,EMA14_close-price,EMA20_close-price,EMA30_close-price,EMA50_close-price,EMA100_close-price,EMA200_close-price,EMA5_market-cap,EMA10_market-cap,EMA14_market-cap,EMA20_market-cap,EMA30_market-cap,EMA100_market-cap,EMA200_market-cap,price_1d
2019-01-01,3,2,106087,14535957,9397407,4329351,1506124,334942,601,52934765398.0,79227580206.0,10945273365,15672691.7,17414457.48,17221109.77,16415046.28,10006975.12,17452644.65,17305093.5,16721758.08,15258278.95,10891727.29,17454305.91,17400241.67,17139243.92,16183591.57,14233116.99,9396350.962,5377460.548,17272799.78,15775789.21,17457479.83,6871978899.0,25.01942684,4060,675,4707,4476,4244,3739,2698,1079,548,372,197,60,2637,1035,535,194,58,9,257891670.8,257918561.9,5.39e-05,257922894.9,257922894.9,257922894.9,252873319.1,96882518.11,82328406.16,257922894.9,262753304.9,262546357.7,262753386.0,262746145.0,262667190.0,262731110.6,256414111.2,197653530.4,262753387.1,3744.515742,3818.754599,3817.314023,3666.849988,3656.632477,5307.000805,6024.069774,65565465921.0,66694242507.0,66623103308.0,63964188307.0,63740995409.0,92137864295.0,104003000000.0,3759.285702,3763.219119,3756.566688,3774.012877,3884.20754,4221.87733,4954.824975,5856.190947,65735431212.0,65758951450.0,65606621771.0,65867927884.0,67730127645.0,85968113941.0,100957000000.0,6008.354543
2019-01-02,3,2,106185,14571812,9432237,4368911,1524839,338511,612,54178938590.0,79225003379.0,10952702142,15674352.71,17416418.89,17222959.11,16416626.39,10009793.19,17454532.9,17307053.7,16723998.81,15258610.03,10893177.86,17456205.84,17403175.11,17145729.46,16194113.86,14257824.25,9426523.493,5408138.054,17274270.27,15776149.62,17459367.33,7035905610.0,25.01030646,4141,701,4840,4607,4367,3846,2784,1124,575,394,194,57,2786,1127,577,194,57,10,284407048.9,284242364.9,5.14e-05,284161582.0,284161582.0,284161582.0,279109330.7,121013112.1,97038665.77,284161582.0,287461246.8,287221816.7,287461337.0,287453900.0,287368946.0,287439688.5,281248935.3,226014707.5,287461338.1,3785.827817,3802.124247,3827.206109,3684.658197,3645.621501,5277.833153,6011.00706,66241422137.0,66428478830.0,66799390144.0,64279694578.0,63554461187.0,91639728784.0,103786000000.0,3770.945219,3768.863689,3761.59303,3775.94158,3878.404747,4205.10819,4931.843575,5835.674263,65886437118.0,65837041901.0,65684198726.0,65898453698.0,67630664502.0,85576437406.0,100611000000.0,6166.829721
2019-01-03,3,2,106326,14521878,9378559,4323767,1502981,334624,597,52597351238.0,79150349338.0,10960106567,15675869.77,17418366.1,17224854.27,16418429.74,10001923.9,17456468.9,17308972.77,16726279.92,15259578.62,10884853.2,17458128.6,17403905.98,17141728.56,16183742.24,14227847.22,9387546.655,5361839.829,17276152.65,15775104.83,17461304.83,6831634278.0,25.06076942,4259,733,4970,4734,4490,3950,2867,1168,583,388,197,58,2869,1170,585,198,58,10,287010670.3,286915607.5,5.24e-05,286864670.3,286864670.3,286864670.3,281512294.0,120550700.7,96648680.53,286864670.3,287225648.0,286981722.1,287225740.4,287218163.8,287130484.1,287202628.9,281015858.5,228443202.0,287225741.5,3789.378035,3795.179691,3840.379083,3713.534998,3645.399266,5250.593001,5997.973841,66317466521.0,66324797438.0,67033658481.0,64795945543.0,63559600121.0,91175911834.0,103570000000.0,3804.687541,3787.647052,3776.336917,3785.106399,3878.002646,4192.051876,4910.859983,5816.136929,66472059742.0,66165453372.0,65945412894.0,66064630012.0,67631480017.0,85221325873.0,100283000000.0,6017.683403
2019-01-04,3,2,106345,14554048,9407528,4342605,1511099,336241,602,53176031495.0,79127034072.0,10967309421,15677535.17,17420174.14,17226531.3,16419921.16,10002970.17,17458329.92,17310712.98,16727974.05,15260802.21,10887629.72,17459996.03,17406149.85,17145412.65,16189377.05,14237268.44,9400606.279,5375503.901,17277964.29,15777257.4,17463167.33,6910357761.0,25.04920293,4329,741,5063,4826,4569,4012,2903,1178,590,388,198,56,2905,1180,592,198,57,10,291457366.0,291316900.0,5.2e-05,291244898.5,291244898.5,291244898.5,285889082.2,124702956.8,81880873.03,291244898.5,291582545.1,291315419.1,291582642.0,291574946.7,291484793.1,291559125.1,285169618.7,234247711.4,291582643.1,3789.044408,3770.633247,3819.766838,3741.529931,3639.827032,5223.945144,5984.76222,66134172627.0,65890393650.0,66701046391.0,65292134197.0,63470604664.0,90721524720.0,103351000000.0,3795.300297,3785.625007,3776.362102,3784.2892,3871.455753,4175.756736,4888.39792,5795.842291,66288802689.0,66121241592.0,65942329653.0,66051073685.0,67521209602.0,84839166719.0,99941295988.0,6084.550447
2019-01-05,3,2,106336,14561237,9413585,4335806,1506219,335419,598,52768635035.0,79115437458.0,10975096775,15681227.22,17422109.48,17228128.62,16421434.76,10003847.82,17460368.65,17312412.74,16729515.38,15261639.05,10887443.11,17462030.31,17407719.5,17145522.25,16188201.04,14232123.79,9393315.562,5365876.686,17279662.41,15778679.54,17465204.83,6851898602.0,25.05213966,4391,750,5138,4901,4637,4066,2940,1203,589,388,197,57,2877,1153,574,194,53,11,290904705.9,291142248.7,5.31e-05,291214025.1,291214025.1,291214025.1,285803993.4,105649025.0,81176738.64,291214025.1,291576110.3,291303376.4,291576208.7,291568455.5,291475375.8,291549971.4,284709059.9,245487284.3,291576209.9,3790.152378,3776.242212,3817.555451,3771.194525,3641.946236,5197.469868,5970.450893,66165489528.0,66020460166.0,66667659794.0,65816109477.0,63513771180.0,90270422415.0,103113000000.0,3801.956224,3791.014657,3781.549566,3787.239569,3867.830742,4161.619926,4867.147824,5776.135085,66409458304.0,66217519400.0,66036788303.0,66108187576.0,67465052178.0,84479000438.0,99610046969.0,6062.723588
2019-01-06,3,2,106385,14698156,9544092,4446322,1572285,348177,635,56192652805.0,79097796325.0,10982293697,15683089.18,17423850.58,17229642.06,16423113.97,10003742.4,17462128.84,17313990.52,16731360.86,15263130.64,10887228.64,17463824.52,17412175.82,17163771.8,16222150.11,14361649.0,9514717.232,5459542.598,17281373.43,15780893.42,17466967.33,7297837274.0,25.05938445,4445,763,5230,4991,4723,4141,2999,1234,618,402,198,58,3001,1237,620,198,59,11,302569276.9,302415308.8,5.29e-05,302341372.8,302341372.8,302341372.8,296960671.0,125154933.5,99765596.88,302341372.8,302711454.1,302410393.6,302711562.4,302703687.6,302608076.5,302687150.7,296326560.7,246287676.3,302711563.7,3809.107637,3776.81169,3805.179743,3799.707576,3652.631036,5168.295905,5955.844023,66495157133.0,66030311527.0,66469437502.0,66317133974.0,63704206337.0,89772072151.0,102870000000.0,3797.073435,3790.340693,3782.317338,3787.246073,3862.635717,4146.941021,4845.764855,5756.34576,66296630078.0,66190874714.0,66041346347.0,66104643390.0,67375111627.0,84114485056.0,99276324846.0,6275.349975
2019-01-07,3,2,106490,14685150,9527013,4430073,1560701,346271,630,55563510723.0,79050037992.0,10989442727,15684652.22,17425600.38,17231277.83,16424588.26,9999206.481,17463890.85,17315669.4,16733094.38,15264097.48,10884977.03,17465582.47,17413474.33,17162389.13,16218119.21,14351948.99,9496970.34,5438082.782,17283041.65,15781766.24,17468729.83,7216885182.0,25.07528527,4531,763,5335,5096,4821,4227,3067,1261,627,412,203,63,3001,1211,612,203,59,11,314840633.2,314868304.6,5.31e-05,314873963.5,314873963.5,314873963.5,309214799.0,135203555.0,91644420.38,314873963.5,315305664.5,315003880.8,315305779.0,315297771.8,315202212.0,315279551.9,308429312.5,255987966.8,315305780.3,3852.958804,3819.393311,3810.315625,3825.07273,3672.797585,5142.083446,5942.339747,67274301207.0,66757861672.0,66569726816.0,66764170064.0,64062048205.0,89325223844.0,102646000000.0,3869.22232,3830.918766,3813.144372,3808.79598,3872.370193,4141.708828,4829.28476,5739.004211,67559143152.0,66898746457.0,66580389407.0,66483645858.0,67549889541.0,83836657021.0,98985855636.0,6222.042843
2019-01-08,3,2,106546,14673822,9503809,4415188,1543134,343385,612,55452182767.0,79016171756.0,10997959641,15685800.28,17427756.24,17233390.08,16427497.67,10001367.45,17465999.95,17317702.14,16736083.24,15266775.96,10886856.75,17467691.01,17415238.57,17160512.47,16213561.13,14280008.01,9447223.357,5393194.38,17285462.56,15784760.57,17470842.33,7205698633.0,25.07683054,4601,749,5446,5204,4914,4298,3118,1273,624,418,206,61,3121,1275,626,206,61,11,324799632.0,324628258.0,5.35e-05,324564645.5,324564645.5,324564645.5,318942351.7,139868144.3,93342969.99,324564645.5,324974337.3,324660602.4,324974463.1,324966281.6,324874304.5,324950452.6,318518221.3,260478446.8,324974464.4,3876.458111,3832.918073,3808.006944,3841.767413,3691.62968,5115.919395,5928.833929,67666066823.0,66991766672.0,66522284431.0,67058255056.0,64397898715.0,88878585175.0,102422000000.0,3909.37112,3859.782393,3836.680951,3826.021955,3879.93784,4135.746471,4812.6587,5721.597887,68240139793.0,67390271296.0,66983288563.0,66780644640.0,67682292350.0,83554785259.0,98693480288.0,6225.913486
2019-01-09,3,2,106332,14699905,9527742,4430866,1560297,346225,637,55618896096.0,79019985305.0,11006266771,15692446.41,17429758.75,17235407.75,16428989.17,10012106.93,17468047.57,17319753.3,16737749.93,15269472.93,10897082.6,17469744.18,17417645.75,17166462.6,16223699.76,14363188.33,9514996.795,5461166.304,17287495.14,15790019.08,17472892.33,7208163792.0,25.03079015,4668,750,5556,5308,5010,4364,3160,1277,610,406,204,60,3163,1280,612,204,60,12,342383071.9,342318889.1,5.12e-05,342268109.1,342268109.1,342268109.1,336593036.6,160063577.6,113372485.7,342268109.1,343019458.8,342703901.0,343019598.3,343011253.8,342919592.4,342994349.7,336684684.9,285551645.7,343019599.7,3915.8712,3852.457804,3823.322146,3856.059449,3705.731174,5089.394928,5918.258988,68365347889.0,67249760258.0,66812897969.0,67311012338.0,64650755636.0,88426592114.0,102248000000.0,3930.777831,3880.474914,3854.935659,3840.076174,3885.979996,4129.387443,4796.043503,5704.204786,68632991165.0,67759075408.0,67308009276.0,67031887428.0,67794318257.0,83274862658.0,98402188881.0,6258.746876
2019-01-10,3,2,106377,14506805,9339883,4274610,1474232,328860,575,50367770236.0,78290426949.0,11013433006,15695616.25,17431685.7,17237488.96,16430215.57,10010654.51,17469997.27,17321863.4,16739403.76,15269016.81,10892775.84,17471642.69,17415557.08,17145710.71,16178228.07,14206376.6,9354829.919,5322298.616,17289489.68,15789467.9,17474842.33,6526417630.0,25.05003809,4782,761,5706,5447,5142,4481,3233,1306,631,421,208,61,3236,1309,633,208,61,13,344973858.3,344889413.7,5.14e-05,344833698.1,344833698.1,344833698.1,339192471.2,141191056.8,94197999.65,344833698.1,355864804.7,355497784.0,355864955.8,355856414.0,355763061.3,355839548.0,349366900.6,296310642.6,355864957.2,3949.262767,3869.707573,3837.651634,3851.915882,3724.011757,5063.228775,5907.322932,68957050762.0,67561270145.0,67072671104.0,67262533641.0,64977553302.0,87980434953.0,102068000000.0,3947.927192,3898.975095,3871.907692,3853.614244,3892.18941,4123.616402,4779.928303,5687.070668,68958422076.0,68095476952.0,67614845892.0,67277353758.0,67911412814.0,83004257139.0,98115692314.0,5779.187068
2019-01-11,3,2,106409,14519041,9349520,4277256,1473908,328711,575,50323061481.0,78218439361.0,11020226038,15696667.65,17433474.68,17238949.96,16431367.38,10008208.86,17471845.71,17323479.99,16740729.0,15270487.82,10891196.69,17473491.47,17417284.87,17147017.57,16179268.38,14207809.88,9350890.958,5324983.138,17291184.12,15791842.61,17476692.33,6522499546.0,25.06484548,4890,791,5828,5569,5258,4582,3304,1342,644,443,220,65,3308,1348,647,220,66,12,352034191.5,351712738.9,5.17e-05,351581975.4,351581975.4,351581975.4,345910133.3,144400458.8,88021901.4,351581975.4,359408300.3,359051940.0,359408457.0,359399786.8,359311339.0,359382026.7,352803736.1,288048996.3,359408458.4,3916.570741,3862.839189,3840.233337,3840.796894,3732.179722,5034.221175,5894.643634,68408131373.0,67451644253.0,67109650306.0,67072943380.0,65126673622.0,87485548720.0,101858000000.0,3839.900704,3848.951938,3838.833031,3831.731719,3874.877043,4104.017631,4757.035619,5666.541087,67081073611.0,67228367812.0,67043049997.0,66901070227.0,67615604032.0,82614596139.0,97769529969.0,5750.124984
2019-01-12,3,2,106416,14543436,9371541,4283133,1473187,328568,574,50227381752.0,78188216817.0,11026528147,15698273.57,17435077.69,17239919.85,16432174.63,10007289.97,17473570.56,17324651.42,16741615.09,15270143.07,10890577.2,17475215.33,17418751.39,17147608.13,16179213.72,14205550.25,9349809.685,5321267.676,17292455.62,15793308.93,17478417.33,6509834949.0,25.0639436,4953,802,5907,5646,5332,4641,3337,1360,654,454,218,67,3265,1304,638,215,63,13,360907493.6,361023548.4,5.14e-05,361028960.3,361028960.3,361028960.3,340136047.1,153158028.1,89733987.55,361028960.3,361463265.8,361099386.5,361463427.7,361454701.1,361367740.6,361435044.0,354493053.4,304077851.5,361463429.1,3840.436584,3846.697694,3824.406781,3824.410971,3738.671363,5005.557044,5881.598637,67015613162.0,67144957184.0,66813828533.0,66786718007.0,65234782114.0,86991314502.0,101639000000.0,3770.883572,3809.66055,3811.368534,3812.790537,3859.26235,4085.540442,4734.774504,5646.305348,65761241822.0,66481678799.0,66520187097.0,66541118610.0,67325666884.0,82228595785.0,97424774231.0,5743.862429
2019-01-13,3,2,106443,14505746,9332019,4247878,1452721,324334,562,48731485380.0,78146472668.0,11032585789,15701402.82,17436727.56,17241149.81,16432823.27,10006792.18,17475281.2,17326007.54,16742675.43,15270048.77,10888933.72,17476911.62,17419192.48,17142715.74,16167144.73,14180118.11,9318536.021,5284268.14,17293790.32,15793909.29,17480129.83,6309433674.0,25.07035509,5019,805,5984,5722,5405,4710,3386,1371,667,456,217,66,3390,1375,671,217,67,13,368778547.9,368448961.2,5.14e-05,368307846.0,368307846.0,368307846.0,347178421.4,141205206.8,91238390.28,368307846.0,368619175.0,368245260.4,368619343.1,368610486.4,368520958.2,368592980.3,362145932.4,308779925.2,368619344.5,3762.19011,3819.32411,3811.566953,3807.251901,3748.798036,4975.75439,5869.241456,65680084232.0,66673075528.0,66534237845.0,66498936483.0,65421655538.0,86482099387.0,101435000000.0,3713.401163,3771.25615,3782.977576,3792.375852,3842.434866,4066.43832,4712.272758,5625.928542,64815657357.0,65834916913.0,66040760607.0,66196677640.0,67041719887.0,81846336233.0,97081487805.0,5569.055251
