date,AdrBal1in1BCnt,AdrBal1in10KCnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,CapRealUSD,RevAllTimeUSD,SplyAct4yr,SplyAct3yr,SplyAct180d,SplyActEver,SplyAdrBal1in1B,SplyAdrBal1in100M,SplyAdrBal1in10M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD1K,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,VelCur1yr,total_balance,usdc_AdrBal1in10BCnt,usdc_AdrBal1in1BCnt,usdc_AdrBalCnt,usdc_AdrBalNtv0.001Cnt,usdc_AdrBalNtv0.01Cnt,usdc_AdrBalNtv0.1Cnt,usdc_AdrBalNtv1Cnt,usdc_AdrBalNtv10Cnt,usdc_AdrBalNtv100KCnt,usdc_AdrBalUSD1Cnt,usdc_AdrBalUSD10Cnt,usdc_AdrBalUSD100Cnt,usdc_AdrBalUSD10KCnt,usdc_AdrBalUSD10MCnt,usdc_CapAct1yrUSD,usdc_CapMrktFFUSD,usdc_CapRealUSD,usdc_SER,usdc_SplyAct10yr,usdc_SplyAct5yr,usdc_SplyAct4yr,usdc_SplyAct3yr,usdc_SplyAct2yr,usdc_SplyAct1yr,usdc_SplyAct180d,usdc_SplyAct90d,usdc_SplyAct7d,usdc_SplyActEver,usdc_SplyActPct1yr,usdc_SplyAdrBal1in1B,usdc_SplyAdrBal1in100M,usdc_SplyAdrBal1in10M,usdc_SplyAdrBal1in1M,usdc_SplyAdrBal1in100K,usdc_SplyAdrBal1in10K,usdc_SplyAdrBalNtv0.001,usdc_SplyAdrBalNtv0.01,usdc_SplyAdrBalNtv0.1,usdc_SplyAdrBalNtv1,usdc_SplyAdrBalNtv10,usdc_SplyAdrBalNtv100,usdc_SplyAdrBalNtv1K,usdc_SplyAdrBalNtv10K,usdc_SplyAdrBalNtv100K,usdc_SplyAdrBalUSD1,usdc_SplyAdrBalUSD10,usdc_SplyAdrBalUSD1K,usdc_SplyAdrBalUSD10K,usdc_SplyAdrBalUSD100K,usdc_SplyAdrBalUSD10M,usdc_SplyAdrTop1Pct,usdc_SplyCur,usdc_SplyFF,SME_100_market-cap,SME_100_volume,EMA200_market-cap,EMA100_volume,EMA200_volume,EURUSD_Close,BND_Close,MBB_Close,QQQ_Close,UUP_Close,price_180d
2019-01-01,4992277,965,6457193,2539967,79227580206.0,10945273365,13249966.01,12616497.4,5312150.552,15672691.7,17414457.48,17221109.77,16415046.28,17452644.65,17432140.79,17305093.5,16721758.08,17454305.91,17449202.5,17400241.67,17139243.92,17272799.78,15775789.21,17457479.83,13900506.17,15.22550925,17452644.65,4060,3394,4707,4476,4244,3739,2698,1079,60,2637,1035,535,194,9,257891670.8,257891670.8,257918561.9,5.39e-05,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257796320.7,96882518.11,257922894.9,98.161587,262753304.9,262751800.6,262739647.0,262720482.4,262546357.7,260943593.6,262753387.1,262753386.0,262753365.2,262752898.8,262746145.0,262732410.6,262667190.0,261995751.7,256614122.9,262752837.8,262745705.0,262664190.0,261965751.7,256414111.2,197653530.4,254937128.3,262753387.1,257922894.9,92137864295.0,3211013211,100957000000.0,3588746229,3628624357,1.14399457,70.82014465,94.90656281,149.8580933,24.73280907,12502.00429
2019-01-02,4994388,966,6458964,2541704,79225003379.0,10952702142,13251327.91,12617840.23,5310922.43,15674352.71,17416418.89,17222959.11,16416626.39,17454532.9,17434097.63,17307053.7,16723998.81,17456205.84,17451202.55,17403175.11,17145729.46,17274270.27,15776149.62,17459367.33,13898459.16,15.17163852,17454532.9,4141,3466,4840,4607,4367,3846,2784,1124,57,2786,1127,577,194,10,284407048.9,284407048.9,284242364.9,5.14e-05,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284034963.6,121013112.1,284161582.0,98.852104,287461246.8,287459532.8,287446944.7,287425775.9,287221816.7,285497289.4,287461338.1,287461337.0,287461315.5,287460839.7,287453900.0,287439488.6,287368946.0,286599564.3,281248935.3,287460841.7,287453930.0,287373943.0,286599564.3,281248935.3,226014707.5,280250996.2,287461338.1,284161582.0,91639728784.0,3194684049,100611000000.0,3570946855,3619283596,1.146171212,70.96321869,95.0789032,150.4604492,24.91745377,11683.71221
2019-01-03,4995795,968,6459493,2542722,79150349338.0,10960106567,13252447.21,12619031.14,5287080.4,15675869.77,17418366.1,17224854.27,16418429.74,17456468.9,17436033.32,17308972.77,16726279.92,17458128.6,17452993.11,17403905.98,17141728.56,17276152.65,15775104.83,17461304.83,13898506.82,15.13167192,17456468.9,4259,3561,4970,4734,4490,3950,2867,1168,58,2869,1170,585,198,10,287010670.3,287010670.3,286915607.5,5.24e-05,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286738004.0,120550700.7,286864670.3,99.87429,287225648.0,287223888.8,287211080.1,287187714.6,286981722.1,285234917.6,287225741.5,287225740.4,287225717.9,287225233.2,287218163.8,287202429.0,287130484.1,286382397.3,281015858.5,287225235.2,287218183.8,287130484.1,286392394.3,281015858.5,228443202.0,280050226.2,287225741.5,286864670.3,91175911834.0,3181053762,100283000000.0,3564858186,3615743153,1.131810665,71.24034882,95.43256378,145.5448303,24.78139877,11607.11672
2019-01-04,4998030,966,6463332,2543644,79127034072.0,10967309421,13253882.98,12618403.5,5290468.597,15677535.17,17420174.14,17226531.3,16419921.16,17458329.92,17437861.16,17310712.98,16727974.05,17459996.03,17454904.0,17406149.85,17145412.65,17277964.29,15777257.4,17463167.33,13893060.69,15.08747135,17458329.92,4329,3606,5063,4826,4569,4012,2903,1178,56,2905,1180,592,198,10,291457366.0,291457366.0,291316900.0,5.2e-05,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291124478.5,124702956.8,291244898.5,99.884168,291582545.1,291580724.6,291567850.4,291541822.7,291315419.1,289639133.5,291582643.1,291582642.0,291582618.8,291582121.5,291574946.7,291558925.1,291484793.1,290779768.8,285069619.6,291582123.5,291574966.7,291485792.6,290779768.8,285169618.7,234247711.4,284456496.2,291582643.1,291244898.5,90721524720.0,3157857942,99941295988.0,3539043167,3602265109,1.139107823,71.02577972,95.14237976,151.7718506,24.7425251,11609.10067
2019-01-05,5005419,968,6474689,2545280,79115437458.0,10975096775,13257060.54,12621551.77,5291884.082,15681227.22,17422109.48,17228128.62,16421434.76,17460368.65,17439845.85,17312412.74,16729515.38,17462030.31,17456902.4,17407719.5,17145522.25,17279662.41,15778679.54,17465204.83,13891549.83,15.02135519,17460368.65,4391,3655,5138,4901,4637,4066,2940,1203,57,2877,1153,574,194,11,290904705.9,290904705.9,291142248.7,5.31e-05,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291093595.7,105649025.0,291214025.1,99.875784,291576110.3,291574262.8,291561094.1,291535442.6,291303376.4,289649312.5,291576209.9,291576208.7,291576184.9,291575680.2,291568455.5,291551471.4,291475375.8,290755390.6,285109081.5,291575617.2,291567955.5,291470374.9,290725376.4,284709059.9,245487284.3,284506859.5,291576209.9,291214025.1,90270422415.0,3149475493,99610046969.0,3527380031,3595775454,1.139107823,71.02577972,95.14237976,151.7718506,24.7425251,12318.35543
2019-01-06,5009449,966,6480117,2545981,79097796325.0,10982293697,13257994.69,12623164.13,5289427.394,15683089.18,17423850.58,17229642.06,16423113.97,17462128.84,17441604.81,17313990.52,16731360.86,17463824.52,17458979.52,17412175.82,17163771.8,17281373.43,15780893.42,17466967.33,13888467.44,14.94062475,17462128.84,4445,3694,5230,4991,4723,4141,2999,1234,58,3001,1237,620,198,11,302569276.9,302569276.9,302415308.8,5.29e-05,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302205561.7,125154933.5,302341372.8,99.877708,302711454.1,302709452.0,302695917.6,302666747.3,302410393.6,300527871.5,302711563.6,302711562.4,302711538.1,302711028.7,302703687.6,302686950.7,302608076.5,301837911.6,296226561.6,302711030.7,302703717.6,302609075.9,301837911.6,296326560.7,246287676.3,295625539.0,302711563.7,302341372.8,89772072151.0,3130211201,99276324846.0,3512260266,3587497409,1.139107823,71.02577972,95.14237976,151.7718506,24.7425251,11822.56819
2019-01-07,5011391,968,6482061,2546879,79050037992.0,10989442727,13260837.97,12626792.24,5286565.494,15684652.22,17425600.38,17231277.83,16424588.26,17463890.85,17443353.67,17315669.4,16733094.38,17465582.47,17460689.98,17413474.33,17162389.13,17283041.65,15781766.24,17468729.83,13887342.39,14.85822358,17463890.85,4531,3760,5335,5096,4821,4227,3067,1261,63,3001,1211,612,203,11,314840633.2,314840633.2,314868304.6,5.31e-05,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314738122.5,135203555.0,314873963.5,99.863048,315305664.5,315303510.6,315289422.5,315261571.6,315003880.8,313124746.5,315305780.2,315305779.0,315305754.2,315305235.6,315297771.8,315281051.9,315202212.0,314403915.2,308829322.6,315305169.6,315297271.8,315198212.0,314403915.2,308429312.5,255987966.8,307791786.8,315305780.3,314873963.5,89325223844.0,3133165326,98985855636.0,3510744879,3585987317,1.141044497,70.91848755,95.02444458,153.5788269,24.63562584,11694.9196
2019-01-08,5012198,968,6480074,2544587,79016171756.0,10997959641,13259673.36,12627608.6,5281909.211,15685800.28,17427756.24,17233390.08,16427497.67,17465999.95,17445477.75,17317702.14,16736083.24,17467691.01,17462749.84,17415238.57,17160512.47,17285462.56,15784760.57,17470842.33,13888660.59,14.79499475,17465999.95,4601,3791,5446,5204,4914,4298,3118,1273,61,3121,1275,626,206,11,324799632.0,324799632.0,324628258.0,5.35e-05,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324428804.5,139868144.3,324564645.5,99.873892,324974337.3,324972078.5,324957456.4,324930130.0,324660602.4,322558391.3,324974464.3,324974463.1,324974437.5,324973913.4,324966281.6,324950252.7,324874304.5,324046966.1,318518221.3,324973916.4,324966301.6,324875304.0,324046966.1,318518221.3,260478446.8,317805999.1,324974464.4,324564645.5,88878585175.0,3143824054,98693480288.0,3507763077,3583740318,1.147973776,70.82907104,94.95191193,154.9679871,24.71337128,11887.61597
2019-01-09,5011582,976,6480759,2546399,79019985305.0,11006266771,13265519.34,12634232.75,5277910.188,15692446.41,17429758.75,17235407.75,16428989.17,17468047.57,17447496.44,17319753.3,16737749.93,17469744.18,17464839.06,17417645.75,17166462.6,17287495.14,15790019.08,17472892.33,13889934.59,14.74624984,17468047.57,4668,3815,5556,5308,5010,4364,3160,1277,60,3163,1280,612,204,12,342383071.9,342383071.9,342318889.1,5.12e-05,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342132172.2,160063577.6,342268109.1,99.780919,343019458.8,343016989.2,343002403.5,342972449.7,342703901.0,340519384.3,343019599.6,343019598.3,343019571.5,343019037.0,343011253.8,342994149.8,342919592.4,342159386.9,336684684.9,343019040.0,343011283.8,342919592.4,342159386.9,336684684.9,285551645.7,336184663.3,343019599.7,342268109.1,88426592114.0,3159558754,98402188881.0,3507261447,3582732263,1.145606637,70.92745972,94.89752197,156.2309113,24.48013687,12032.52278
2019-01-10,5008851,968,6477343,2548197,78290426949.0,11013433006,13270071.9,12638479.17,5411088.886,15695616.25,17431685.7,17237488.96,16430215.57,17469997.27,17449416.19,17321863.4,16739403.76,17471642.69,17466289.32,17415557.08,17145710.71,17289489.68,15789467.9,17474842.33,13883437.34,14.71506932,17469997.27,4782,3890,5706,5447,5142,4481,3233,1306,61,3236,1309,633,208,13,344973858.3,344973858.3,344889413.7,5.14e-05,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344697753.9,141191056.8,344833698.1,96.900156,355864804.7,355862151.2,355847021.6,355816458.9,355497784.0,353326480.7,355864957.2,355864955.8,355864928.4,355864377.6,355856414.0,355839348.0,355763061.3,354978781.0,349366900.6,355864380.6,355856444.0,355763061.3,354978781.0,349366900.6,296310642.6,348966890.5,355864957.2,344833698.1,87980434953.0,3172926380,98115692314.0,3501781487,3579227698,1.155494928,70.78438568,94.82497406,156.6777802,24.6259079,12462.01907
