date,AdrBalNtv1Cnt,AdrBalUSD1MCnt,CapAct1yrUSD,CapRealUSD,RevAllTimeUSD,RevHashRateUSD,SER,SplyAct10yr,SplyAct3yr,SplyAct1yr,SplyActEver,SplyActPct1yr,SplyAdrBal1in1B,SplyAdrBal1in100M,SplyAdrBal1in10M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv100,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD1K,SplyAdrTop10Pct,SplyCur,SplyMiner0HopAllUSD,total_balance,usdc_AdrBal1in10BCnt,usdc_AdrBalCnt,usdc_AdrBalNtv0.001Cnt,usdc_AdrBalNtv0.01Cnt,usdc_AdrBalNtv0.1Cnt,usdc_AdrBalNtv1Cnt,usdc_AdrBalNtv10Cnt,usdc_AdrBalNtv10KCnt,usdc_AdrBalUSD10Cnt,usdc_AdrBalUSD10KCnt,usdc_CapAct1yrUSD,usdc_CapRealUSD,usdc_SER,usdc_SplyAct10yr,usdc_SplyAct5yr,usdc_SplyAct4yr,usdc_SplyAct3yr,usdc_SplyAct2yr,usdc_SplyAct180d,usdc_SplyAct90d,usdc_SplyAct30d,usdc_SplyActEver,usdc_SplyAdrBal1in1B,usdc_SplyAdrBal1in100M,usdc_SplyAdrBal1in10M,usdc_SplyAdrBal1in1M,usdc_SplyAdrBal1in100K,usdc_SplyAdrBal1in10K,usdc_SplyAdrBalNtv0.001,usdc_SplyAdrBalNtv0.1,usdc_SplyAdrBalNtv1,usdc_SplyAdrBalNtv10,usdc_SplyAdrBalNtv100,usdc_SplyAdrBalNtv1K,usdc_SplyAdrBalNtv10K,usdc_SplyAdrBalNtv100K,usdc_SplyAdrBalUSD1,usdc_SplyAdrBalUSD1K,usdc_SplyAdrBalUSD10K,usdc_SplyAdrBalUSD100K,usdc_SplyAdrTop10Pct,usdc_SplyAdrTop1Pct,usdc_SplyCur,usdc_SplyFF,usdc_VelCur1yr,close-price,SME_5_close-price,SME_10_close-price,SME_14_close-price,SME_100_close-price,SME_200_close-price,SME_5_market-cap,SME_10_market-cap,SME_14_market-cap,SME_20_market-cap,SME_30_market-cap,SME_50_market-cap,SME_100_market-cap,SME_200_market-cap,EMA5_close-price,EMA10_close-price,EMA14_close-price,EMA50_close-price,EMA100_close-price,EMA200_close-price,EMA5_market-cap,EMA10_market-cap,EMA14_market-cap,EMA30_market-cap,EMA100_market-cap,EMA200_market-cap,VOO_Close,SPY_Close,price_30d
2019-01-01,702986,6368,31333805705.0,79227580206.0,10945273365,0.171460848,0.069549367,15672691.7,12616497.4,8228160.758,15672691.7,47.132581,17414457.48,17221109.77,16415046.28,17452644.65,17432140.79,17305093.5,16721758.08,10891727.29,17449202.5,17400241.67,17139243.92,17272799.78,17457479.83,6871978899.0,17452644.65,4060,4707,4476,4244,3739,2698,1079,197,1035,194,257891670.8,257918561.9,5.39e-05,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257796320.7,252873319.1,257922894.9,262753304.9,262751800.6,262739647.0,262720482.4,262546357.7,260943593.6,262753387.1,262753365.2,262752898.8,262746145.0,262732410.6,262667190.0,261995751.7,256614122.9,262752837.8,262664190.0,261965751.7,256414111.2,262720735.8,254937128.3,262753387.1,257922894.9,6.558614839,3692.531566,3744.515742,3818.754599,3817.314023,5307.000805,6024.069774,65565465921.0,66694242507.0,66623103308.0,63964188307.0,63740995409.0,71680308589.0,92137864295.0,104003000000.0,3759.285702,3763.219119,3756.566688,4221.87733,4954.824975,5856.190947,65735431212.0,65758951450.0,65606621771.0,67730127645.0,85968113941.0,100957000000.0,212.763504,232.0673523,5540.257077
2019-01-02,703693,6478,32021652822.0,79225003379.0,10952702142,0.176143421,0.069569876,15674352.71,12617840.23,8214476.799,15674352.71,47.049109,17416418.89,17222959.11,16416626.39,17454532.9,17434097.63,17307053.7,16723998.81,10893177.86,17451202.55,17403175.11,17145729.46,17274270.27,17459367.33,7035905610.0,17454532.9,4141,4840,4607,4367,3846,2784,1124,194,1127,194,284407048.9,284242364.9,5.14e-05,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284034963.6,279109330.7,284161582.0,287461246.8,287459532.8,287446944.7,287425775.9,287221816.7,285497289.4,287461338.1,287461315.5,287460839.7,287453900.0,287439488.6,287368946.0,286599564.3,281248935.3,287460841.7,287373943.0,286599564.3,281248935.3,287423722.5,280250996.2,287461338.1,284161582.0,6.321841302,3794.264254,3785.827817,3802.124247,3827.206109,5277.833153,6011.00706,66241422137.0,66428478830.0,66799390144.0,64279694578.0,63554461187.0,70776357568.0,91639728784.0,103786000000.0,3770.945219,3768.863689,3761.59303,4205.10819,4931.843575,5835.674263,65886437118.0,65837041901.0,65684198726.0,67630664502.0,85576437406.0,100611000000.0,212.9301758,232.3087921,5472.521075
2019-01-03,704873,6359,31016114828.0,79150349338.0,10960106567,0.171035307,0.069578826,15675869.77,12619031.14,8195805.934,15675869.77,46.936962,17418366.1,17224854.27,16418429.74,17456468.9,17436033.32,17308972.77,16726279.92,10884853.2,17452993.11,17403905.98,17141728.56,17276152.65,17461304.83,6831634278.0,17456468.9,4259,4970,4734,4490,3950,2867,1168,197,1170,198,287010670.3,286915607.5,5.24e-05,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286738004.0,281512294.0,286864670.3,287225648.0,287223888.8,287211080.1,287187714.6,286981722.1,285234917.6,287225741.5,287225717.9,287225233.2,287218163.8,287202429.0,287130484.1,286382397.3,281015858.5,287225235.2,287130484.1,286392394.3,281015858.5,287189384.8,280050226.2,287225741.5,286864670.3,6.426970606,3872.172184,3789.378035,3795.179691,3840.379083,5250.593001,5997.973841,66317466521.0,66324797438.0,67033658481.0,64795945543.0,63559600121.0,69906683668.0,91175911834.0,103570000000.0,3804.687541,3787.647052,3776.336917,4192.051876,4910.859983,5816.136929,66472059742.0,66165453372.0,65945412894.0,67631480017.0,85221325873.0,100283000000.0,207.8474121,226.7652435,5508.281787
2019-01-04,705051,6409,31327283459.0,79127034072.0,10967309421,0.173079002,0.069603584,15677535.17,12618403.5,8184737.338,15677535.17,46.868573,17420174.14,17226531.3,16419921.16,17458329.92,17437861.16,17310712.98,16727974.05,10887629.72,17454904.0,17406149.85,17145412.65,17277964.29,17463167.33,6910357761.0,17458329.92,4329,5063,4826,4569,4012,2903,1178,198,1180,198,291457366.0,291316900.0,5.2e-05,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291124478.5,285889082.2,291244898.5,291582545.1,291580724.6,291567850.4,291541822.7,291315419.1,289639133.5,291582643.1,291582618.8,291582121.5,291574946.7,291558925.1,291484793.1,290779768.8,285069619.6,291582123.5,291485792.6,290779768.8,285169618.7,291546658.4,284456496.2,291582643.1,291244898.5,6.431917914,3776.525808,3789.044408,3770.633247,3819.766838,5223.945144,5984.76222,66134172627.0,65890393650.0,66701046391.0,65292134197.0,63470604664.0,69213429440.0,90721524720.0,103351000000.0,3795.300297,3785.625007,3776.362102,4175.756736,4888.39792,5795.842291,66288802689.0,66121241592.0,65942329653.0,67521209602.0,84839166719.0,99941295988.0,214.7077484,234.3609161,5538.566036
2019-01-05,705233,6377,30994977837.0,79115437458.0,10975096775,0.171052098,0.069638538,15681227.22,12621551.77,8159549.3,15681227.22,46.718887,17422109.48,17228128.62,16421434.76,17460368.65,17439845.85,17312412.74,16729515.38,10887443.11,17456902.4,17407719.5,17145522.25,17279662.41,17465204.83,6851898602.0,17460368.65,4391,5138,4901,4637,4066,2940,1203,197,1153,194,290904705.9,291142248.7,5.31e-05,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291093595.7,285803993.4,291214025.1,291576110.3,291574262.8,291561094.1,291535442.6,291303376.4,289649312.5,291576209.9,291576184.9,291575680.2,291568455.5,291551471.4,291475375.8,290755390.6,285109081.5,291575617.2,291470374.9,290725376.4,284709059.9,291541105.4,284506859.5,291576209.9,291214025.1,6.473409872,3815.26808,3790.152378,3776.242212,3817.555451,5197.469868,5970.450893,66165489528.0,66020460166.0,66667659794.0,65816109477.0,63513771180.0,68569863249.0,90270422415.0,103113000000.0,3801.956224,3791.014657,3781.549566,4161.619926,4867.147824,5776.135085,66409458304.0,66217519400.0,66036788303.0,67465052178.0,84479000438.0,99610046969.0,214.7077484,234.3609161,5495.679028
2019-01-06,705424,6863,32978846174.0,79097796325.0,10982293697,0.182748482,0.069644095,15683089.18,12623164.13,8150987.868,15683089.18,46.665158,17423850.58,17229642.06,16423113.97,17462128.84,17441604.81,17313990.52,16731360.86,10887228.64,17458979.52,17412175.82,17163771.8,17281373.43,17466967.33,7297837274.0,17462128.84,4445,5230,4991,4723,4141,2999,1234,198,1237,198,302569276.9,302415308.8,5.29e-05,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302205561.7,296960671.0,302341372.8,302711454.1,302709452.0,302695917.6,302666747.3,302410393.6,300527871.5,302711563.6,302711538.1,302711028.7,302703687.6,302686950.7,302608076.5,301837911.6,296226561.6,302711030.7,302609075.9,301837911.6,296326560.7,302673082.0,295625539.0,302711563.7,302341372.8,6.376065955,3787.307857,3809.107637,3776.81169,3805.179743,5168.295905,5955.844023,66495157133.0,66030311527.0,66469437502.0,66317133974.0,63704206337.0,67944401381.0,89772072151.0,102870000000.0,3797.073435,3790.340693,3782.317338,4146.941021,4845.764855,5756.34576,66296630078.0,66190874714.0,66041346347.0,67375111627.0,84114485056.0,99276324846.0,214.7077484,234.3609161,5507.126871
2019-01-07,705957,6817,32578288347.0,79050037992.0,10989442727,0.181532377,0.069663324,15684652.22,12626792.24,8142499.254,15684652.22,46.611856,17425600.38,17231277.83,16424588.26,17463890.85,17443353.67,17315669.4,16733094.38,10884977.03,17460689.98,17413474.33,17162389.13,17283041.65,17468729.83,7216885182.0,17463890.85,4531,5335,5096,4821,4227,3067,1261,203,1211,203,314840633.2,314868304.6,5.31e-05,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314738122.5,309214799.0,314873963.5,315305664.5,315303510.6,315289422.5,315261571.6,315003880.8,313124746.5,315305780.2,315305754.2,315305235.6,315297771.8,315281051.9,315202212.0,314403915.2,308829322.6,315305169.6,315198212.0,314403915.2,308429312.5,315267600.9,307791786.8,315305780.3,314873963.5,6.250336285,4013.520091,3852.958804,3819.393311,3810.315625,5142.083446,5942.339747,67274301207.0,66757861672.0,66569726816.0,66764170064.0,64062048205.0,67400084984.0,89325223844.0,102646000000.0,3869.22232,3830.918766,3813.144372,4141.708828,4829.28476,5739.004211,67559143152.0,66898746457.0,66580389407.0,67549889541.0,83836657021.0,98985855636.0,216.3186798,236.208786,5506.681089
2019-01-08,706067,6614,32185087142.0,79016171756.0,10997959641,0.180435368,0.069610156,15685800.28,12627608.6,8061138.966,15685800.28,46.140528,17427756.24,17233390.08,16427497.67,17465999.95,17445477.75,17317702.14,16736083.24,10886856.75,17462749.84,17415238.57,17160512.47,17285462.56,17470842.33,7205698633.0,17465999.95,4601,5446,5204,4914,4298,3118,1273,206,1275,206,324799632.0,324628258.0,5.35e-05,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324428804.5,318942351.7,324564645.5,324974337.3,324972078.5,324957456.4,324930130.0,324660602.4,322558391.3,324974464.3,324974437.5,324973913.4,324966281.6,324950252.7,324874304.5,324046966.1,318518221.3,324973916.4,324875304.0,324046966.1,318518221.3,324939037.8,317805999.1,324974464.4,324564645.5,6.195516671,3989.668718,3876.458111,3832.918073,3808.006944,5115.919395,5928.833929,67666066823.0,66991766672.0,66522284431.0,67058255056.0,64397898715.0,66829750135.0,88878585175.0,102422000000.0,3909.37112,3859.782393,3836.680951,4135.746471,4812.6587,5721.597887,68240139793.0,67390271296.0,66983288563.0,67682292350.0,83554785259.0,98693480288.0,218.4203644,238.4280243,5419.212158
2019-01-09,705587,6814,32258661085.0,79019985305.0,11006266771,0.181356553,0.069647417,15692446.41,12634232.75,8056087.48,15692446.41,46.106205,17429758.75,17235407.75,16428989.17,17468047.57,17447496.44,17319753.3,16737749.93,10897082.6,17464839.06,17417645.75,17166462.6,17287495.14,17472892.33,7208163792.0,17468047.57,4668,5556,5308,5010,4364,3160,1277,204,1280,204,342383071.9,342318889.1,5.12e-05,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342132172.2,336593036.6,342268109.1,343019458.8,343016989.2,343002403.5,342972449.7,342703901.0,340519384.3,343019599.6,343019571.5,343019037.0,343011253.8,342994149.8,342919592.4,342159386.9,336684684.9,343019040.0,342919592.4,342159386.9,336684684.9,342987641.9,336184663.3,343019599.7,342268109.1,6.112162241,3973.591255,3915.8712,3852.457804,3823.322146,5089.394928,5918.258988,68365347889.0,67249760258.0,66812897969.0,67311012338.0,64650755636.0,66513557169.0,88426592114.0,102248000000.0,3930.777831,3880.474914,3854.935659,4129.387443,4796.043503,5704.204786,68632991165.0,67759075408.0,67308009276.0,67794318257.0,83274862658.0,98402188881.0,219.4294586,239.5423279,5416.396911
2019-01-10,706531,6196,29669593703.0,78290426949.0,11013433006,0.164472211,0.069695694,15695616.25,12638479.17,8178165.189,15695616.25,46.799651,17431685.7,17237488.96,16430215.57,17469997.27,17449416.19,17321863.4,16739403.76,10892775.84,17466289.32,17415557.08,17145710.71,17289489.68,17474842.33,6526417630.0,17469997.27,4782,5706,5447,5142,4481,3233,1306,208,1309,208,344973858.3,344889413.7,5.14e-05,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344697753.9,339192471.2,344833698.1,355864804.7,355862151.2,355847021.6,355816458.9,355497784.0,353326480.7,355864957.2,355864928.4,355864377.6,355856414.0,355839348.0,355763061.3,354978781.0,349366900.6,355864380.6,355763061.3,354978781.0,349366900.6,355832011.7,348966890.5,355864957.2,344833698.1,6.103857848,3982.225913,3949.262767,3869.707573,3837.651634,5063.228775,5907.322932,68957050762.0,67561270145.0,67072671104.0,67262533641.0,64977553302.0,66373703881.0,87980434953.0,102068000000.0,3947.927192,3898.975095,3871.907692,4123.616402,4779.928303,5687.070668,68958422076.0,68095476952.0,67614845892.0,67911412814.0,83004257139.0,98115692314.0,220.3460236,240.3873291,5764.867197
