date,gt_Ethereum_monthly,AdrBal1in10BCnt,AdrBal1in100MCnt,AdrBal1in10KCnt,AdrBalCnt,AdrBalNtv0.001Cnt,DiffLast,DiffMean,RevAllTimeUSD,ROI1yr,SER,SplyAct10yr,SplyAct4yr,SplyAct1yr,SplyActEver,SplyActPct1yr,SplyAdrBal1in1B,SplyAdrBal1in100M,SplyAdrBal1in10M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv100K,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD1K,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,VelCur1yr,total_balance,usdc_AdrBalCnt,usdc_AdrBalNtv0.001Cnt,usdc_AdrBalNtv0.01Cnt,usdc_AdrBalNtv0.1Cnt,usdc_AdrBalNtv1Cnt,usdc_AdrBalNtv1MCnt,usdc_AdrBalUSD1Cnt,usdc_CapAct1yrUSD,usdc_CapMrktFFUSD,usdc_CapRealUSD,usdc_SER,usdc_SplyAct10yr,usdc_SplyAct5yr,usdc_SplyAct4yr,usdc_SplyAct3yr,usdc_SplyAct2yr,usdc_SplyAct1yr,usdc_SplyAct180d,usdc_SplyAct90d,usdc_SplyActEver,usdc_SplyAdrBal1in1B,usdc_SplyAdrBal1in100M,usdc_SplyAdrBal1in10M,usdc_SplyAdrBal1in1M,usdc_SplyAdrBal1in100K,usdc_SplyAdrBal1in10K,usdc_SplyAdrBal1in1K,usdc_SplyAdrBalNtv0.1,usdc_SplyAdrBalNtv1,usdc_SplyAdrBalNtv10,usdc_SplyAdrBalNtv100,usdc_SplyAdrBalNtv1K,usdc_SplyAdrBalNtv10K,usdc_SplyAdrBalNtv100K,usdc_SplyAdrBalUSD1,usdc_SplyAdrBalUSD10,usdc_SplyAdrBalUSD100,usdc_SplyAdrBalUSD10K,usdc_SplyAdrBalUSD100K,usdc_SplyAdrBalUSD1M,usdc_SplyAdrTop10Pct,usdc_SplyAdrTop1Pct,usdc_SplyCur,usdc_SplyFF,SME_100_close-price,SME_200_close-price,SME_100_market-cap,SME_200_market-cap,SME_200_volume,EMA100_close-price,EMA200_close-price,EMA100_market-cap,EMA200_market-cap,EMA200_volume,BND_Close,BSV_Close,MBB_Close,price_90d
2019-01-01,1,10232381,1886806,965,22399091,11537760,5620000000000.0,5620000000000.0,10945273365,-71.71766953,0.069549367,15672691.7,13249966.01,8228160.758,15672691.7,47.132581,17414457.48,17221109.77,16415046.28,17452644.65,17432140.79,17305093.5,16721758.08,571079.2163,17454305.91,17449202.5,17400241.67,17139243.92,17272799.78,15775789.21,17457479.83,13900506.17,15.22550925,17452644.65,4707,4476,4244,3739,2698,19,2637,257891670.8,257891670.8,257918561.9,5.39e-05,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257922894.9,257796320.7,257922894.9,262753304.9,262751800.6,262739647.0,262720482.4,262546357.7,260943593.6,252976462.4,262753365.2,262752898.8,262746145.0,262732410.6,262667190.0,261995751.7,256614122.9,262752837.8,262745705.0,262731110.6,261965751.7,256414111.2,244618446.0,262720735.8,254937128.3,262753387.1,257922894.9,5307.000805,6024.069774,92137864295.0,104003000000.0,3951802183,4954.824975,5856.190947,85968113941.0,100957000000.0,3628624357,70.82014465,72.47741699,94.90656281,6563.73614
2019-01-02,1,10224725,1887697,966,22376168,11528899,5620000000000.0,5620000000000.0,10952702142,-73.57928454,0.069569876,15674352.71,13251327.91,8214476.799,15674352.71,47.049109,17416418.89,17222959.11,16416626.39,17454532.9,17434097.63,17307053.7,16723998.81,571079.2163,17456205.84,17451202.55,17403175.11,17145729.46,17274270.27,15776149.62,17459367.33,13898459.16,15.17163852,17454532.9,4840,4607,4367,3846,2784,19,2786,284407048.9,284407048.9,284242364.9,5.14e-05,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284161582.0,284034963.6,284161582.0,287461246.8,287459532.8,287446944.7,287425775.9,287221816.7,285497289.4,277227412.7,287461315.5,287460839.7,287453900.0,287439488.6,287368946.0,286599564.3,281248935.3,287460841.7,287453930.0,287439688.5,286599564.3,281248935.3,270911423.0,287423722.5,280250996.2,287461338.1,284161582.0,5277.833153,6011.00706,91639728784.0,103786000000.0,3956547809,4931.843575,5835.674263,85576437406.0,100611000000.0,3619283596,70.96321869,72.54196167,95.0789032,6615.479257
2019-01-03,1,10226343,1888512,968,22383153,11531978,5620000000000.0,5620000000000.0,10960106567,-74.78803139,0.069578826,15675869.77,13252447.21,8195805.934,15675869.77,46.936962,17418366.1,17224854.27,16418429.74,17456468.9,17436033.32,17308972.77,16726279.92,564079.2163,17458128.6,17452993.11,17403905.98,17141728.56,17276152.65,15775104.83,17461304.83,13898506.82,15.13167192,17456468.9,4970,4734,4490,3950,2867,18,2869,287010670.3,287010670.3,286915607.5,5.24e-05,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286864670.3,286738004.0,286864670.3,287225648.0,287223888.8,287211080.1,287187714.6,286981722.1,285234917.6,277199669.0,287225717.9,287225233.2,287218163.8,287202429.0,287130484.1,286382397.3,281015858.5,287225235.2,287218183.8,287202628.9,286392394.3,281015858.5,269417129.4,287189384.8,280050226.2,287225741.5,286864670.3,5250.593001,5997.973841,91175911834.0,103570000000.0,3966331908,4910.859983,5816.136929,85221325873.0,100283000000.0,3615743153,71.24034882,72.70802307,95.43256378,7402.643407
2019-01-04,1,10236013,1888978,966,22398175,11542216,5620000000000.0,5620000000000.0,10967309421,-74.60220174,0.069603584,15677535.17,13253882.98,8184737.338,15677535.17,46.868573,17420174.14,17226531.3,16419921.16,17458329.92,17437861.16,17310712.98,16727974.05,564079.2163,17459996.03,17454904.0,17406149.85,17145412.65,17277964.29,15777257.4,17463167.33,13893060.69,15.08747135,17458329.92,5063,4826,4569,4012,2903,18,2905,291457366.0,291457366.0,291316900.0,5.2e-05,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291244898.5,291124478.5,291244898.5,291582545.1,291580724.6,291567850.4,291541822.7,291315419.1,289639133.5,281262114.0,291582618.8,291582121.5,291574946.7,291558925.1,291484793.1,290779768.8,285069619.6,291582123.5,291574966.7,291559125.1,290779768.8,285169618.7,274146534.3,291546658.4,284456496.2,291582643.1,291244898.5,5223.945144,5984.76222,90721524720.0,103351000000.0,3972033977,4888.39792,5795.842291,84839166719.0,99941295988.0,3602265109,71.02577972,72.52353668,95.14237976,7481.629518
2019-01-05,1,10257370,1889825,968,22413983,11564231,5620000000000.0,5620000000000.0,10975096775,-77.65156714,0.069638538,15681227.22,13257060.54,8159549.3,15681227.22,46.718887,17422109.48,17228128.62,16421434.76,17460368.65,17439845.85,17312412.74,16729515.38,564079.2163,17462030.31,17456902.4,17407719.5,17145522.25,17279662.41,15778679.54,17465204.83,13891549.83,15.02135519,17460368.65,5138,4901,4637,4066,2940,17,2877,290904705.9,290904705.9,291142248.7,5.31e-05,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291214025.1,291093595.7,291214025.1,291576110.3,291574262.8,291561094.1,291535442.6,291303376.4,289649312.5,280762409.4,291576184.9,291575680.2,291568455.5,291551471.4,291475375.8,290755390.6,285109081.5,291575617.2,291567955.5,291549971.4,290725376.4,284709059.9,274255596.9,291541105.4,284506859.5,291576209.9,291214025.1,5197.469868,5970.450893,90270422415.0,103113000000.0,3978032415,4867.147824,5776.135085,84479000438.0,99610046969.0,3595775454,71.02577972,72.52353668,95.14237976,7390.900453
2019-01-06,1,10263234,1889971,966,22431394,11570809,5620000000000.0,5620000000000.0,10982293697,-76.34418303,0.069644095,15683089.18,13257994.69,8150987.868,15683089.18,46.665158,17423850.58,17229642.06,16423113.97,17462128.84,17441604.81,17313990.52,16731360.86,564079.2163,17463824.52,17458979.52,17412175.82,17163771.8,17281373.43,15780893.42,17466967.33,13888467.44,14.94062475,17462128.84,5230,4991,4723,4141,2999,19,3001,302569276.9,302569276.9,302415308.8,5.29e-05,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302341372.8,302205561.7,302341372.8,302711454.1,302709452.0,302695917.6,302666747.3,302410393.6,300527871.5,291898698.4,302711538.1,302711028.7,302703687.6,302686950.7,302608076.5,301837911.6,296226561.6,302711030.7,302703717.6,302687150.7,301837911.6,296326560.7,285334484.4,302673082.0,295625539.0,302711563.7,302341372.8,5168.295905,5955.844023,89772072151.0,102870000000.0,3983604324,4845.764855,5756.34576,84114485056.0,99276324846.0,3587497409,71.02577972,72.52353668,95.14237976,7581.295432
2019-01-07,1,10266833,1890547,968,22439271,11574945,5620000000000.0,5620000000000.0,10989442727,-75.35058244,0.069663324,15684652.22,13260837.97,8142499.254,15684652.22,46.611856,17425600.38,17231277.83,16424588.26,17463890.85,17443353.67,17315669.4,16733094.38,564079.2163,17465582.47,17460689.98,17413474.33,17162389.13,17283041.65,15781766.24,17468729.83,13887342.39,14.85822358,17463890.85,5335,5096,4821,4227,3067,20,3001,314840633.2,314840633.2,314868304.6,5.31e-05,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314873963.5,314738122.5,314873963.5,315305664.5,315303510.6,315289422.5,315261571.6,315003880.8,313124746.5,303992985.2,315305754.2,315305235.6,315297771.8,315281051.9,315202212.0,314403915.2,308829322.6,315305169.6,315297271.8,315279551.9,314403915.2,308429312.5,297141875.5,315267600.9,307791786.8,315305780.3,314873963.5,5142.083446,5942.339747,89325223844.0,102646000000.0,3992650883,4829.28476,5739.004211,83836657021.0,98985855636.0,3585987317,70.91848755,72.44048309,95.02444458,7603.162554
2019-01-08,1,10263250,1888888,968,22448394,11571860,5620000000000.0,5620000000000.0,10997959641,-73.27099257,0.069610156,15685800.28,13259673.36,8061138.966,15685800.28,46.140528,17427756.24,17233390.08,16427497.67,17465999.95,17445477.75,17317702.14,16736083.24,564079.2163,17467691.01,17462749.84,17415238.57,17160512.47,17285462.56,15784760.57,17470842.33,13888660.59,14.79499475,17465999.95,5446,5204,4914,4298,3118,22,3121,324799632.0,324799632.0,324628258.0,5.35e-05,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324564645.5,324428804.5,324564645.5,324974337.3,324972078.5,324957456.4,324930130.0,324660602.4,322558391.3,313982999.4,324974437.5,324973913.4,324966281.6,324950252.7,324874304.5,324046966.1,318518221.3,324973916.4,324966301.6,324950452.6,324046966.1,318518221.3,308010652.5,324939037.8,317805999.1,324974464.4,324564645.5,5115.919395,5928.833929,88878585175.0,102422000000.0,4002450811,4812.6587,5721.597887,83554785259.0,98693480288.0,3583740318,70.82907104,72.37593079,94.95191193,7740.298074
2019-01-09,1,10270066,1890496,976,22465065,11580013,5620000000000.0,5620000000000.0,11006266771,-72.15123257,0.069647417,15692446.41,13265519.34,8056087.48,15692446.41,46.106205,17429758.75,17235407.75,16428989.17,17468047.57,17447496.44,17319753.3,16737749.93,564079.2163,17469744.18,17464839.06,17417645.75,17166462.6,17287495.14,15790019.08,17472892.33,13889934.59,14.74624984,17468047.57,5556,5308,5010,4364,3160,22,3163,342383071.9,342383071.9,342318889.1,5.12e-05,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342268109.1,342132172.2,342268109.1,343019458.8,343016989.2,343002403.5,342972449.7,342703901.0,340519384.3,331784526.7,343019571.5,343019037.0,343011253.8,342994149.8,342919592.4,342159386.9,336684684.9,343019040.0,343011283.8,342994349.7,342159386.9,336684684.9,326144980.8,342987641.9,336184663.3,343019599.7,342268109.1,5089.394928,5918.258988,88426592114.0,102248000000.0,4005200908,4796.043503,5704.204786,83274862658.0,98402188881.0,3582732263,70.92745972,72.44048309,94.89752197,7782.940288
2019-01-10,1,10272551,1892281,968,22473701,11584298,5620000000000.0,5620000000000.0,11013433006,-75.26837807,0.069695694,15695616.25,13270071.9,8178165.189,15695616.25,46.799651,17431685.7,17237488.96,16430215.57,17469997.27,17449416.19,17321863.4,16739403.76,594881.0932,17471642.69,17466289.32,17415557.08,17145710.71,17289489.68,15789467.9,17474842.33,13883437.34,14.71506932,17469997.27,5706,5447,5142,4481,3233,23,3236,344973858.3,344973858.3,344889413.7,5.14e-05,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344833698.1,344697753.9,344833698.1,355864804.7,355862151.2,355847021.6,355816458.9,355497784.0,353326480.7,344679208.1,355864928.4,355864377.6,355856414.0,355839348.0,355763061.3,354978781.0,349366900.6,355864380.6,355856444.0,355839548.0,354978781.0,349366900.6,339391346.6,355832011.7,348966890.5,355864957.2,344833698.1,5063.228775,5907.322932,87980434953.0,102068000000.0,4013175063,4779.928303,5687.070668,83004257139.0,98115692314.0,3579227698,70.78438568,72.45895386,94.82497406,7682.131646
2019-01-11,1,10285087,1892457,967,22492417,11598629,5620000000000.0,5620000000000.0,11020226038,-72.5166545,0.069742276,15696638.65,13271328.27,8167494.789,15696667.65,46.733642,17433474.68,17238949.96,16431367.38,17471845.71,17451226.52,17323479.99,16740729.0,594881.0932,17473491.47,17468127.72,17417284.87,17147017.57,17291184.12,15791842.61,17476692.33,13885436.0,14.68627512,17471845.71,5828,5569,5258,4582,3304,23,3308,352034191.5,352034191.5,351712738.9,5.17e-05,351581975.4,351581975.4,351581975.4,351581975.4,351581975.4,351581975.4,351581975.4,351446011.5,351581975.4,359408300.3,359405577.9,359390270.2,359358072.5,359051940.0,356687048.1,347045489.1,359408428.9,359407864.6,359399786.8,359381726.8,359311339.0,358476843.7,352703834.2,359407868.6,359399846.8,359382026.7,358476843.7,352803736.1,341789669.2,359374321.0,351980069.0,359408458.4,351581975.4,5034.221175,5894.643634,87485548720.0,101858000000.0,4021637545,4757.035619,5666.541087,82614596139.0,97769529969.0,3584852655,70.92745972,72.52353668,95.03353882,7799.425354
2019-01-12,1,10311802,1893133,967,22522283,11626389,5620000000000.0,5620000000000.0,11026528147,-73.76963011,0.069803507,15698244.57,13272517.78,8149438.073,15698273.57,46.625721,17435077.69,17239919.85,16432174.63,17473570.56,17452888.31,17324651.42,16741615.09,594881.0932,17475215.33,17469838.51,17418751.39,17147608.13,17292455.62,15793308.93,17478417.33,13886390.7,14.64631677,17473570.56,5907,5646,5332,4641,3337,21,3265,360907493.6,360907493.6,361023548.4,5.14e-05,361028960.3,361028960.3,361028960.3,361028960.3,361028960.3,361028960.3,361028960.3,360892996.4,361028960.3,361463265.8,361460490.9,361445225.0,361412651.5,361099386.5,358673703.1,348475091.5,361463399.1,361462824.7,361454701.1,361436644.0,361367740.6,360472607.6,354893074.9,361462752.7,361454141.1,361435044.0,360442602.6,354493053.4,342022160.8,361428733.6,354069038.1,361463429.1,361028960.3,5005.557044,5881.598637,86991314502.0,101639000000.0,4016319331,4734.774504,5646.305348,82228595785.0,97424774231.0,3581653545,70.92745972,72.52353668,95.03353882,7450.443758
2019-01-13,1,10325880,1894598,963,22543758,11642447,5620000000000.0,5620000000000.0,11032585789,-75.34527005,0.069874486,15701312.82,13274473.84,8137309.676,15701402.82,46.551769,17436727.56,17241149.81,16432823.27,17475281.2,17454576.84,17326007.54,16742675.43,594881.0938,17476911.62,17471395.96,17419192.48,17142715.74,17293790.32,15793909.29,17480129.83,13888876.38,14.62012588,17475281.2,5984,5722,5405,4710,3386,22,3390,368778547.9,368778547.9,368448961.2,5.14e-05,368307846.0,368307846.0,368307846.0,368307846.0,368307846.0,368307846.0,368307846.0,368099645.4,368307846.0,368619175.0,368616274.9,368600764.5,368567074.4,368245260.4,365724402.0,355684578.0,368619314.3,368618732.7,368610486.4,368592580.5,368520958.2,367598988.2,362046030.4,368618736.7,368610526.4,368592980.3,367598988.2,362145932.4,350018642.7,368583917.1,361324014.0,368619344.5,368307846.0,4975.75439,5869.241456,86482099387.0,101435000000.0,4012359555,4712.272758,5625.928542,81846336233.0,97081487805.0,3570453638,70.92745972,72.52353668,95.03353882,7479.484161
